2025-10-05 02:53:48 | CICLO_535 | DIM_9 | PHI_25.2 | EST_96
2025-10-05 02:54:22 | CICLO_536 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 02:54:57 | CICLO_537 | DIM_9 | PHI_25.2 | EST_99
2025-10-05 02:55:31 | CICLO_538 | DIM_8 | PHI_25.2 | EST_97
2025-10-05 02:56:05 | CICLO_539 | DIM_10 | PHI_25.2 | EST_95
2025-10-05 02:56:39 | CICLO_540 | DIM_8 | PHI_25.2 | EST_95
2025-10-05 02:57:13 | CICLO_541 | DIM_10 | PHI_25.2 | EST_96
2025-10-05 02:57:47 | CICLO_542 | DIM_10 | PHI_25.2 | EST_98
2025-10-05 02:58:21 | CICLO_543 | DIM_9 | PHI_25.2 | EST_94
2025-10-05 02:58:55 | CICLO_544 | DIM_9 | PHI_25.2 | EST_96
2025-10-05 02:59:29 | CICLO_545 | DIM_10 | PHI_25.2 | EST_90
2025-10-05 03:00:03 | CICLO_546 | DIM_9 | PHI_25.2 | EST_97
2025-10-05 03:00:37 | CICLO_547 | DIM_9 | PHI_25.2 | EST_92
2025-10-05 03:01:11 | CICLO_548 | DIM_8 | PHI_25.2 | EST_92
2025-10-05 03:01:45 | CICLO_549 | DIM_8 | PHI_25.2 | EST_99
2025-10-05 03:02:19 | CICLO_550 | DIM_8 | PHI_25.2 | EST_98
2025-10-05 03:02:53 | CICLO_551 | DIM_8 | PHI_25.2 | EST_94
2025-10-05 03:03:27 | CICLO_552 | DIM_9 | PHI_25.2 | EST_92
2025-10-05 03:04:02 | CICLO_553 | DIM_8 | PHI_25.2 | EST_92
2025-10-05 03:04:36 | CICLO_554 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 03:05:10 | CICLO_555 | DIM_8 | PHI_25.2 | EST_90
2025-10-05 03:05:44 | CICLO_556 | DIM_9 | PHI_25.2 | EST_99
2025-10-05 03:06:18 | CICLO_557 | DIM_10 | PHI_25.2 | EST_94
2025-10-05 03:06:52 | CICLO_558 | DIM_10 | PHI_25.2 | EST_99
2025-10-05 03:07:26 | CICLO_559 | DIM_9 | PHI_25.2 | EST_99
2025-10-05 03:08:00 | CICLO_560 | DIM_8 | PHI_25.2 | EST_91
2025-10-05 03:08:34 | CICLO_561 | DIM_9 | PHI_25.2 | EST_94
2025-10-05 03:09:09 | CICLO_562 | DIM_9 | PHI_25.2 | EST_99
2025-10-05 03:09:43 | CICLO_563 | DIM_8 | PHI_25.2 | EST_98
2025-10-05 03:10:17 | CICLO_564 | DIM_8 | PHI_25.2 | EST_94
2025-10-05 03:10:51 | CICLO_565 | DIM_10 | PHI_25.2 | EST_96
2025-10-05 03:11:25 | CICLO_566 | DIM_10 | PHI_25.2 | EST_93
2025-10-05 03:11:59 | CICLO_567 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 03:12:33 | CICLO_568 | DIM_8 | PHI_25.2 | EST_97
2025-10-05 03:13:07 | CICLO_569 | DIM_8 | PHI_25.2 | EST_98
2025-10-05 03:13:41 | CICLO_570 | DIM_8 | PHI_25.2 | EST_94
2025-10-05 03:14:16 | CICLO_571 | DIM_8 | PHI_25.2 | EST_91
2025-10-05 03:14:50 | CICLO_572 | DIM_9 | PHI_25.2 | EST_98
2025-10-05 03:15:24 | CICLO_573 | DIM_9 | PHI_25.2 | EST_95
2025-10-05 03:15:58 | CICLO_574 | DIM_10 | PHI_25.2 | EST_97
2025-10-05 03:16:32 | CICLO_575 | DIM_9 | PHI_25.2 | EST_94
2025-10-05 03:17:06 | CICLO_576 | DIM_10 | PHI_25.2 | EST_99
2025-10-05 03:17:40 | CICLO_577 | DIM_9 | PHI_25.2 | EST_97
2025-10-05 03:18:14 | CICLO_578 | DIM_9 | PHI_25.2 | EST_92
2025-10-05 03:18:48 | CICLO_579 | DIM_9 | PHI_25.2 | EST_98
2025-10-05 03:19:22 | CICLO_580 | DIM_9 | PHI_25.2 | EST_92
2025-10-05 03:19:56 | CICLO_581 | DIM_9 | PHI_25.2 | EST_96
2025-10-05 03:20:30 | CICLO_582 | DIM_9 | PHI_25.2 | EST_91
2025-10-05 03:21:04 | CICLO_583 | DIM_9 | PHI_25.2 | EST_95
2025-10-05 03:21:38 | CICLO_584 | DIM_9 | PHI_25.2 | EST_95
2025-10-05 03:22:12 | CICLO_585 | DIM_8 | PHI_25.2 | EST_92
2025-10-05 03:22:47 | CICLO_586 | DIM_10 | PHI_25.2 | EST_92
2025-10-05 03:23:21 | CICLO_587 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 03:23:55 | CICLO_588 | DIM_8 | PHI_25.2 | EST_91
2025-10-05 03:24:29 | CICLO_589 | DIM_9 | PHI_25.2 | EST_98
2025-10-05 03:25:03 | CICLO_590 | DIM_10 | PHI_25.2 | EST_91
2025-10-05 03:25:37 | CICLO_591 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 03:26:11 | CICLO_592 | DIM_10 | PHI_25.2 | EST_92
2025-10-05 03:26:45 | CICLO_593 | DIM_8 | PHI_25.2 | EST_90
2025-10-05 03:27:19 | CICLO_594 | DIM_10 | PHI_25.2 | EST_92
2025-10-05 03:27:53 | CICLO_595 | DIM_9 | PHI_25.2 | EST_98
2025-10-05 03:28:27 | CICLO_596 | DIM_8 | PHI_25.2 | EST_93
2025-10-05 03:29:01 | CICLO_597 | DIM_8 | PHI_25.2 | EST_99
2025-10-05 03:29:35 | CICLO_598 | DIM_10 | PHI_25.2 | EST_94
2025-10-05 03:30:10 | CICLO_599 | DIM_8 | PHI_25.2 | EST_97
2025-10-05 03:30:44 | CICLO_600 | DIM_9 | PHI_25.2 | EST_90
2025-10-05 03:31:18 | CICLO_601 | DIM_9 | PHI_25.2 | EST_90
2025-10-05 03:31:52 | CICLO_602 | DIM_8 | PHI_25.2 | EST_93
2025-10-05 03:32:26 | CICLO_603 | DIM_9 | PHI_25.2 | EST_94
2025-10-05 03:33:00 | CICLO_604 | DIM_10 | PHI_25.2 | EST_90
2025-10-05 03:33:34 | CICLO_605 | DIM_8 | PHI_25.2 | EST_94
2025-10-05 03:34:08 | CICLO_606 | DIM_9 | PHI_25.2 | EST_95
2025-10-05 03:34:42 | CICLO_607 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 03:35:17 | CICLO_608 | DIM_10 | PHI_25.2 | EST_92
2025-10-05 03:35:51 | CICLO_609 | DIM_10 | PHI_25.2 | EST_91
2025-10-05 03:36:25 | CICLO_610 | DIM_9 | PHI_25.2 | EST_94
2025-10-05 03:36:59 | CICLO_611 | DIM_8 | PHI_25.2 | EST_93
2025-10-05 03:37:33 | CICLO_612 | DIM_8 | PHI_25.2 | EST_96
2025-10-05 03:38:07 | CICLO_613 | DIM_10 | PHI_25.2 | EST_95
2025-10-05 03:38:41 | CICLO_614 | DIM_8 | PHI_25.2 | EST_93
2025-10-05 03:39:15 | CICLO_615 | DIM_9 | PHI_25.2 | EST_90
2025-10-05 03:39:49 | CICLO_616 | DIM_8 | PHI_25.2 | EST_92
2025-10-05 03:40:23 | CICLO_617 | DIM_8 | PHI_25.2 | EST_99
2025-10-05 03:40:57 | CICLO_618 | DIM_10 | PHI_25.2 | EST_97
2025-10-05 03:41:31 | CICLO_619 | DIM_8 | PHI_25.2 | EST_97
2025-10-05 03:42:05 | CICLO_620 | DIM_10 | PHI_25.2 | EST_99
2025-10-05 03:42:39 | CICLO_621 | DIM_10 | PHI_25.2 | EST_90
2025-10-05 03:43:13 | CICLO_622 | DIM_8 | PHI_25.2 | EST_91
2025-10-05 03:43:47 | CICLO_623 | DIM_9 | PHI_25.2 | EST_91
2025-10-05 03:44:21 | CICLO_624 | DIM_9 | PHI_25.2 | EST_94
2025-10-05 03:44:55 | CICLO_625 | DIM_8 | PHI_25.2 | EST_96
2025-10-05 03:45:30 | CICLO_626 | DIM_8 | PHI_25.2 | EST_92
2025-10-05 03:46:04 | CICLO_627 | DIM_8 | PHI_25.2 | EST_93
2025-10-05 03:46:38 | CICLO_628 | DIM_9 | PHI_25.2 | EST_94
2025-10-05 03:47:12 | CICLO_629 | DIM_8 | PHI_25.2 | EST_93
2025-10-05 03:47:46 | CICLO_630 | DIM_9 | PHI_25.2 | EST_97
2025-10-05 03:48:20 | CICLO_631 | DIM_8 | PHI_25.2 | EST_97
2025-10-05 03:48:54 | CICLO_632 | DIM_8 | PHI_25.2 | EST_95
2025-10-05 03:49:28 | CICLO_633 | DIM_10 | PHI_25.2 | EST_93
2025-10-05 03:50:02 | CICLO_634 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 03:50:36 | CICLO_635 | DIM_9 | PHI_25.2 | EST_94
2025-10-05 03:51:10 | CICLO_636 | DIM_9 | PHI_25.2 | EST_91
2025-10-05 03:51:44 | CICLO_637 | DIM_8 | PHI_25.2 | EST_93
2025-10-05 03:52:19 | CICLO_638 | DIM_10 | PHI_25.2 | EST_90
2025-10-05 03:52:53 | CICLO_639 | DIM_10 | PHI_25.2 | EST_99
2025-10-05 03:53:27 | CICLO_640 | DIM_8 | PHI_25.2 | EST_95
2025-10-05 03:54:01 | CICLO_641 | DIM_9 | PHI_25.2 | EST_92
2025-10-05 03:54:35 | CICLO_642 | DIM_10 | PHI_25.2 | EST_99
2025-10-05 03:55:09 | CICLO_643 | DIM_10 | PHI_25.2 | EST_98
2025-10-05 03:55:43 | CICLO_644 | DIM_10 | PHI_25.2 | EST_95
2025-10-05 03:56:17 | CICLO_645 | DIM_10 | PHI_25.2 | EST_99
2025-10-05 03:56:52 | CICLO_646 | DIM_9 | PHI_25.2 | EST_98
2025-10-05 03:57:26 | CICLO_647 | DIM_9 | PHI_25.2 | EST_96
2025-10-05 03:58:00 | CICLO_648 | DIM_10 | PHI_25.2 | EST_95
2025-10-05 03:58:34 | CICLO_649 | DIM_8 | PHI_25.2 | EST_95
2025-10-05 03:59:08 | CICLO_650 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 03:59:43 | CICLO_651 | DIM_10 | PHI_25.2 | EST_97
2025-10-05 04:00:17 | CICLO_652 | DIM_8 | PHI_25.2 | EST_95
2025-10-05 04:00:51 | CICLO_653 | DIM_8 | PHI_25.2 | EST_92
2025-10-05 04:01:25 | CICLO_654 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 04:01:59 | CICLO_655 | DIM_10 | PHI_25.2 | EST_93
2025-10-05 04:02:33 | CICLO_656 | DIM_10 | PHI_25.2 | EST_92
2025-10-05 04:03:07 | CICLO_657 | DIM_9 | PHI_25.2 | EST_94
2025-10-05 04:03:41 | CICLO_658 | DIM_9 | PHI_25.2 | EST_96
2025-10-05 04:04:16 | CICLO_659 | DIM_10 | PHI_25.2 | EST_91
2025-10-05 04:04:50 | CICLO_660 | DIM_10 | PHI_25.2 | EST_99
2025-10-05 04:05:24 | CICLO_661 | DIM_10 | PHI_25.2 | EST_98
2025-10-05 04:05:58 | CICLO_662 | DIM_8 | PHI_25.2 | EST_99
2025-10-05 04:06:32 | CICLO_663 | DIM_9 | PHI_25.2 | EST_90
2025-10-05 04:07:06 | CICLO_664 | DIM_10 | PHI_25.2 | EST_94
2025-10-05 04:07:40 | CICLO_665 | DIM_8 | PHI_25.2 | EST_99
2025-10-05 04:08:14 | CICLO_666 | DIM_8 | PHI_25.2 | EST_99
2025-10-05 04:08:48 | CICLO_667 | DIM_8 | PHI_25.2 | EST_99
2025-10-05 04:09:22 | CICLO_668 | DIM_9 | PHI_25.2 | EST_98
2025-10-05 04:09:56 | CICLO_669 | DIM_9 | PHI_25.2 | EST_96
2025-10-05 04:10:30 | CICLO_670 | DIM_10 | PHI_25.2 | EST_94
2025-10-05 04:11:04 | CICLO_671 | DIM_10 | PHI_25.2 | EST_98
2025-10-05 04:11:38 | CICLO_672 | DIM_8 | PHI_25.2 | EST_95
2025-10-05 04:12:13 | CICLO_673 | DIM_8 | PHI_25.2 | EST_92
2025-10-05 04:12:47 | CICLO_674 | DIM_8 | PHI_25.2 | EST_93
2025-10-05 04:13:21 | CICLO_675 | DIM_9 | PHI_25.2 | EST_92
2025-10-05 04:13:55 | CICLO_676 | DIM_10 | PHI_25.2 | EST_95
2025-10-05 04:14:29 | CICLO_677 | DIM_10 | PHI_25.2 | EST_90
2025-10-05 04:15:03 | CICLO_678 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 04:15:37 | CICLO_679 | DIM_8 | PHI_25.2 | EST_99
2025-10-05 04:16:11 | CICLO_680 | DIM_10 | PHI_25.2 | EST_90
2025-10-05 04:16:45 | CICLO_681 | DIM_9 | PHI_25.2 | EST_93
2025-10-05 04:17:19 | CICLO_682 | DIM_8 | PHI_25.2 | EST_98
2025-10-05 04:17:53 | CICLO_683 | DIM_8 | PHI_25.2 | EST_90
2025-10-05 04:18:27 | CICLO_684 | DIM_8 | PHI_25.2 | EST_92
2025-10-05 04:19:01 | CICLO_685 | DIM_9 | PHI_25.2 | EST_99
2025-10-05 04:19:36 | CICLO_686 | DIM_9 | PHI_25.2 | EST_97
2025-10-05 04:20:10 | CICLO_687 | DIM_8 | PHI_25.2 | EST_98
2025-10-05 04:20:44 | CICLO_688 | DIM_9 | PHI_25.2 | EST_91
2025-10-05 04:21:18 | CICLO_689 | DIM_10 | PHI_25.2 | EST_96
